#TYPE Microsoft.PowerShell.Commands.LocalUser
"AccountExpires","Description","Enabled","FullName","PasswordChangeableDate","PasswordExpires","UserMayChangePassword","PasswordRequired","PasswordLastSet","LastLogon","Name","SID","PrincipalSource","ObjectClass"
,"","True","Terence Matthews","5/17/2025 8:05:43 PM",,"True","False","5/16/2025 8:05:43 PM",,"Terence.Matthews","S-1-5-21-2797066498-1365161904-233915892-1129",,"User"
,"","True","Colin Roberts","5/17/2025 8:05:43 PM",,"True","False","5/16/2025 8:05:43 PM",,"Colin.Roberts","S-1-5-21-2797066498-1365161904-233915892-1130",,"User"
,"","True","Aaron Robinson","5/17/2025 8:05:43 PM",,"True","False","5/16/2025 8:05:43 PM",,"Aaron.Robinson","S-1-5-21-2797066498-1365161904-233915892-1131",,"User"
,"","True","Amanda Jenkins","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Amanda.Jenkins","S-1-5-21-2797066498-1365161904-233915892-1132",,"User"
,"","True","Debra Arnold","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Debra.Arnold","S-1-5-21-2797066498-1365161904-233915892-1133",,"User"
,"","True","Michelle Willis","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Michelle.Willis","S-1-5-21-2797066498-1365161904-233915892-1134",,"User"
,"","True","Kayleigh Jones","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Kayleigh.Jones","S-1-5-21-2797066498-1365161904-233915892-1135",,"User"
,"","True","Adam Russell","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Adam.Russell","S-1-5-21-2797066498-1365161904-233915892-1136",,"User"
,"","True","Tracey Kelly","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Tracey.Kelly","S-1-5-21-2797066498-1365161904-233915892-1137",,"User"
,"","True","Bethan Dale","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Bethan.Dale","S-1-5-21-2797066498-1365161904-233915892-1138",,"User"
,"","True","Mandy Wood","5/17/2025 8:05:44 PM",,"True","False","5/16/2025 8:05:44 PM",,"Mandy.Wood","S-1-5-21-2797066498-1365161904-233915892-1139",,"User"
,"","True","Jenna Phillips","5/17/2025 8:05:45 PM",,"True","False","5/16/2025 8:05:45 PM",,"Jenna.Phillips","S-1-5-21-2797066498-1365161904-233915892-1140",,"User"
,"","True","Carole Yates","5/17/2025 8:05:45 PM",,"True","False","5/16/2025 8:05:45 PM",,"Carole.Yates","S-1-5-21-2797066498-1365161904-233915892-1141",,"User"
,"","True","Graham Perry","5/17/2025 8:05:45 PM",,"True","False","5/16/2025 8:05:45 PM",,"Graham.Perry","S-1-5-21-2797066498-1365161904-233915892-1142",,"User"
,"","True","Catherine Griffiths","5/17/2025 8:05:45 PM",,"True","False","5/16/2025 8:05:45 PM",,"Catherine.Griffiths","S-1-5-21-2797066498-1365161904-233915892-1143",,"User"
,"","True","Shaun Jackson","5/17/2025 8:05:45 PM",,"True","False","5/16/2025 8:05:45 PM",,"Shaun.Jackson","S-1-5-21-2797066498-1365161904-233915892-1144",,"User"
,"","True","Bethan Rogers","5/17/2025 8:05:45 PM",,"True","False","5/16/2025 8:05:45 PM",,"Bethan.Rogers","S-1-5-21-2797066498-1365161904-233915892-1145",,"User"
,"","True","Ellie Singh","5/17/2025 8:05:45 PM",,"True","False","5/16/2025 8:05:45 PM",,"Ellie.Singh","S-1-5-21-2797066498-1365161904-233915892-1146",,"User"
,"","True","Marie Allan","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"Marie.Allan","S-1-5-21-2797066498-1365161904-233915892-1147",,"User"
,"","True","Patrick Holmes","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"Patrick.Holmes","S-1-5-21-2797066498-1365161904-233915892-1148",,"User"
,"","True","Victor Hopkins","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"Victor.Hopkins","S-1-5-21-2797066498-1365161904-233915892-1149",,"User"
,"","True","Geraldine Harper","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"Geraldine.Harper","S-1-5-21-2797066498-1365161904-233915892-1150",,"User"
,"","True","George Todd","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"George.Todd","S-1-5-21-2797066498-1365161904-233915892-1151",,"User"
,"","True","Karl Smith","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"Karl.Smith","S-1-5-21-2797066498-1365161904-233915892-1152",,"User"
,"","True","Jacqueline Norton","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"Jacqueline.Norton","S-1-5-21-2797066498-1365161904-233915892-1153",,"User"
,"","True","Frederick Murray","5/17/2025 8:05:46 PM",,"True","False","5/16/2025 8:05:46 PM",,"Frederick.Murray","S-1-5-21-2797066498-1365161904-233915892-1154",,"User"
,"","True","Joe Pearce","5/17/2025 8:05:47 PM",,"True","False","5/16/2025 8:05:47 PM",,"Joe.Pearce","S-1-5-21-2797066498-1365161904-233915892-1155",,"User"
,"","True","Paul Collins","5/17/2025 8:05:47 PM",,"True","False","5/16/2025 8:05:47 PM",,"Paul.Collins","S-1-5-21-2797066498-1365161904-233915892-1156",,"User"
,"","True","Damien Edwards","5/17/2025 8:05:47 PM",,"True","False","5/16/2025 8:05:47 PM",,"Damien.Edwards","S-1-5-21-2797066498-1365161904-233915892-1157",,"User"
,"","True","Eileen Phillips","5/17/2025 8:05:47 PM",,"True","False","5/16/2025 8:05:47 PM",,"Eileen.Phillips","S-1-5-21-2797066498-1365161904-233915892-1158",,"User"
,"","True","Carl Johnson","5/17/2025 8:05:47 PM",,"True","False","5/16/2025 8:05:47 PM",,"Carl.Johnson","S-1-5-21-2797066498-1365161904-233915892-1159",,"User"
,"","True","Kevin Newton","5/17/2025 8:05:47 PM",,"True","False","5/16/2025 8:05:47 PM",,"Kevin.Newton","S-1-5-21-2797066498-1365161904-233915892-1160",,"User"
,"","True","Natalie Higgins","5/17/2025 8:05:47 PM",,"True","False","5/16/2025 8:05:47 PM",,"Natalie.Higgins","S-1-5-21-2797066498-1365161904-233915892-1161",,"User"
,"","True","Francis Weston","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Francis.Weston","S-1-5-21-2797066498-1365161904-233915892-1162",,"User"
,"","True","Benjamin Davison","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Benjamin.Davison","S-1-5-21-2797066498-1365161904-233915892-1163",,"User"
,"","True","Martin Kemp","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Martin.Kemp","S-1-5-21-2797066498-1365161904-233915892-1164",,"User"
,"","True","Angela Jones","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Angela.Jones","S-1-5-21-2797066498-1365161904-233915892-1165",,"User"
,"","True","Gareth Ahmed","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Gareth.Ahmed","S-1-5-21-2797066498-1365161904-233915892-1166",,"User"
,"","True","Deborah Morgan","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Deborah.Morgan","S-1-5-21-2797066498-1365161904-233915892-1167",,"User"
,"","True","Grace Taylor","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Grace.Taylor","S-1-5-21-2797066498-1365161904-233915892-1168",,"User"
,"","True","Roger Hughes","5/17/2025 8:05:48 PM",,"True","False","5/16/2025 8:05:48 PM",,"Roger.Hughes","S-1-5-21-2797066498-1365161904-233915892-1169",,"User"
,"","True","Albert Barrett","5/17/2025 8:05:49 PM",,"True","False","5/16/2025 8:05:49 PM",,"Albert.Barrett","S-1-5-21-2797066498-1365161904-233915892-1170",,"User"
,"","True","Grace Curtis","5/17/2025 8:05:49 PM",,"True","False","5/16/2025 8:05:49 PM",,"Grace.Curtis","S-1-5-21-2797066498-1365161904-233915892-1171",,"User"
,"","True","Marilyn Griffiths","5/17/2025 8:05:49 PM",,"True","False","5/16/2025 8:05:49 PM",,"Marilyn.Griffiths","S-1-5-21-2797066498-1365161904-233915892-1172",,"User"
,"","True","Tracey Barker","5/17/2025 8:05:49 PM",,"True","False","5/16/2025 8:05:49 PM",,"Tracey.Barker","S-1-5-21-2797066498-1365161904-233915892-1173",,"User"
,"","True","Suzanne Hughes","5/17/2025 8:05:49 PM",,"True","False","5/16/2025 8:05:49 PM",,"Suzanne.Hughes","S-1-5-21-2797066498-1365161904-233915892-1174",,"User"
,"","True","Timothy Jackson","5/17/2025 8:05:49 PM",,"True","False","5/16/2025 8:05:49 PM",,"Timothy.Jackson","S-1-5-21-2797066498-1365161904-233915892-1175",,"User"
,"","True","Beverley Thompson","5/17/2025 8:05:49 PM",,"True","False","5/16/2025 8:05:49 PM",,"Beverley.Thompson","S-1-5-21-2797066498-1365161904-233915892-1176",,"User"
,"","True","Clare Bartlett","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Clare.Bartlett","S-1-5-21-2797066498-1365161904-233915892-1177",,"User"
,"","True","Irene Johnson","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Irene.Johnson","S-1-5-21-2797066498-1365161904-233915892-1178",,"User"
,"","True","Bernard Wood","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Bernard.Wood","S-1-5-21-2797066498-1365161904-233915892-1179",,"User"
,"","True","Frank McCarthy","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Frank.McCarthy","S-1-5-21-2797066498-1365161904-233915892-1180",,"User"
,"","True","Elaine Page","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Elaine.Page","S-1-5-21-2797066498-1365161904-233915892-1181",,"User"
,"","True","Elaine Walker","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Elaine.Walker","S-1-5-21-2797066498-1365161904-233915892-1182",,"User"
,"","True","Mohammad Hill","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Mohammad.Hill","S-1-5-21-2797066498-1365161904-233915892-1183",,"User"
,"","True","Glenn Field","5/17/2025 8:05:50 PM",,"True","False","5/16/2025 8:05:50 PM",,"Glenn.Field","S-1-5-21-2797066498-1365161904-233915892-1184",,"User"
,"","True","Deborah Martin","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Deborah.Martin","S-1-5-21-2797066498-1365161904-233915892-1185",,"User"
,"","True","Gail Sullivan","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Gail.Sullivan","S-1-5-21-2797066498-1365161904-233915892-1186",,"User"
,"","True","Maureen Kirby","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Maureen.Kirby","S-1-5-21-2797066498-1365161904-233915892-1187",,"User"
,"","True","Georgina Chambers","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Georgina.Chambers","S-1-5-21-2797066498-1365161904-233915892-1188",,"User"
,"","True","Philip Harris","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Philip.Harris","S-1-5-21-2797066498-1365161904-233915892-1189",,"User"
,"","True","Samantha Scott","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Samantha.Scott","S-1-5-21-2797066498-1365161904-233915892-1190",,"User"
,"","True","Ann Hill","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Ann.Hill","S-1-5-21-2797066498-1365161904-233915892-1191",,"User"
,"","True","Chloe Cox","5/17/2025 8:05:51 PM",,"True","False","5/16/2025 8:05:51 PM",,"Chloe.Cox","S-1-5-21-2797066498-1365161904-233915892-1192",,"User"
,"","True","Jamie Gough","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Jamie.Gough","S-1-5-21-2797066498-1365161904-233915892-1193",,"User"
,"","True","Frederick Hussain","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Frederick.Hussain","S-1-5-21-2797066498-1365161904-233915892-1194",,"User"
,"","True","Dean Hobbs","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Dean.Hobbs","S-1-5-21-2797066498-1365161904-233915892-1195",,"User"
,"","True","Danielle Moore","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Danielle.Moore","S-1-5-21-2797066498-1365161904-233915892-1196",,"User"
,"","True","Timothy Smith","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Timothy.Smith","S-1-5-21-2797066498-1365161904-233915892-1197",,"User"
,"","True","Declan Stone","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Declan.Stone","S-1-5-21-2797066498-1365161904-233915892-1198",,"User"
,"","True","Jacob Wilson","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Jacob.Wilson","S-1-5-21-2797066498-1365161904-233915892-1199",,"User"
,"","True","Gary Elliott","5/17/2025 8:05:52 PM",,"True","False","5/16/2025 8:05:52 PM",,"Gary.Elliott","S-1-5-21-2797066498-1365161904-233915892-1200",,"User"
,"","True","Peter Slater","5/17/2025 8:05:53 PM",,"True","False","5/16/2025 8:05:53 PM",,"Peter.Slater","S-1-5-21-2797066498-1365161904-233915892-1201",,"User"
,"","True","Louise Walton","5/17/2025 8:05:53 PM",,"True","False","5/16/2025 8:05:53 PM",,"Louise.Walton","S-1-5-21-2797066498-1365161904-233915892-1202",,"User"
,"","True","Brett Haynes","5/17/2025 8:05:53 PM",,"True","False","5/16/2025 8:05:53 PM",,"Brett.Haynes","S-1-5-21-2797066498-1365161904-233915892-1203",,"User"
,"","True","Elliot Green","5/17/2025 8:05:53 PM",,"True","False","5/16/2025 8:05:53 PM",,"Elliot.Green","S-1-5-21-2797066498-1365161904-233915892-1204",,"User"
,"","True","Wendy Williams","5/17/2025 8:05:53 PM",,"True","False","5/16/2025 8:05:53 PM",,"Wendy.Williams","S-1-5-21-2797066498-1365161904-233915892-1205",,"User"
,"","True","Graham Parker","5/17/2025 8:05:53 PM",,"True","False","5/16/2025 8:05:53 PM",,"Graham.Parker","S-1-5-21-2797066498-1365161904-233915892-1206",,"User"
,"","True","Abdul Stevens","5/17/2025 8:05:53 PM",,"True","False","5/16/2025 8:05:53 PM",,"Abdul.Stevens","S-1-5-21-2797066498-1365161904-233915892-1207",,"User"
,"","True","Brett Bailey","5/17/2025 8:05:54 PM",,"True","False","5/16/2025 8:05:54 PM",,"Brett.Bailey","S-1-5-21-2797066498-1365161904-233915892-1208",,"User"
,"","True","Benjamin Harrison","5/17/2025 8:05:54 PM",,"True","False","5/16/2025 8:05:54 PM",,"Benjamin.Harrison","S-1-5-21-2797066498-1365161904-233915892-1209",,"User"
,"","True","Emily Cooper","5/17/2025 8:05:54 PM",,"True","False","5/16/2025 8:05:54 PM",,"Emily.Cooper","S-1-5-21-2797066498-1365161904-233915892-1210",,"User"
,"","True","Roger Spencer","5/17/2025 8:05:54 PM",,"True","False","5/16/2025 8:05:54 PM",,"Roger.Spencer","S-1-5-21-2797066498-1365161904-233915892-1211",,"User"
,"","True","","12/9/2025 7:16:33 AM",,"True","True","12/8/2025 7:16:33 AM","2/14/2026 9:11:58 AM","S200401$","S-1-5-21-2797066498-1365161904-233915892-1000",,"User"
,"","True","","5/17/2025 6:29:29 PM",,"True","False","5/16/2025 6:29:29 PM",,"SQL03$","S-1-5-21-2797066498-1365161904-233915892-1106",,"User"
,"","True","","5/17/2025 6:29:39 PM",,"True","False","5/16/2025 6:29:39 PM",,"NB001$","S-1-5-21-2797066498-1365161904-233915892-1107",,"User"
,"","True","","5/17/2025 6:29:45 PM",,"True","False","5/16/2025 6:29:45 PM",,"NB002$","S-1-5-21-2797066498-1365161904-233915892-1108",,"User"
,"","True","","5/17/2025 6:29:52 PM",,"True","False","5/16/2025 6:29:52 PM",,"FILE01$","S-1-5-21-2797066498-1365161904-233915892-1109",,"User"
